entreprise,type_contrat,deparetement,date_publication,date_mise_a_jour,salaire,prise_de_poste,experience,metier,statut_du_poste,zone_de_deplacement,secteur_d_activite,Teletravail,descriptif_poste,profil_recherche,langues,savoir_etre,savoir_faire,descriptif_entreprise
HOLIMEET,"1 
 CDI",Lyon 02 - 69,Publiée le 12/01/2024,Actualisée le 12/01/2024,A partir de 40 k€ brut annuel,Dès que possible,Minimum 3 ans,Data engineer,Cadre du secteur privé,Pas de déplacement,ACTIVITÉS DES SIÈGES SOCIAUX,Partiel possible,"Aujourd'hui, nous sommes à la recherche d'un Développeur Data Engineer (H/F) pour intégrer notre équipe lyonnaise.
 Vos missions seront de :
Concevoir et proposer les solutions de développement répondant aux besoins fonctionnels et techniques des projets big data
Participez à la conception de solutions permettant le traitement de volumes importants de pipelines données
Réaliser ces solutions par l écriture de code, en respectant les méthodes et procédures qualités définies au sein du département Technique
Mise à disposition sécurisé et lisible de la Data
S assurer de la conformité fonctionnelle et technique de ces réalisations en effectuant les tests automatisés nécessaire et la mise en place de monitoring (système et qualité)
Assurer la maintenance des applicatifs / plateforme data science
Assurer une veille technologique","Les compétences à maîtriser :
Spark,
Scala,
Java,
Hadoop,
Stack AWS,
Expertise dans le stockage de données et les outils ETL,
Principes CI/CD,
Développement de BDD (SQL, NoSQL...),
Pratiques AGILE.
 Autres :
RTT
Tickets restaurant
CE
Incubateur de projets
Soirées d'entreprise (escape game, restaurant, sport...)
300€ / an de remboursement pour les frais liés au sport
 L’aventure TimTek vous intéresse, alors n'hésitez pas à nous envoyer votre candidature. :-)",Anglais,,,
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Cagnes-sur-Mer - 06,Publiée le 09/01/2024,Actualisée le 09/01/2024,55 - 60 k€ brut annuel,Dès que possible,Aucune expérience exigée,Chief Data Officer,Cadre du secteur privé,Pas de déplacement,ACTIVITÉS DE SOUTIEN AUX AUTRES INDUSTRIES EXTRACTIVES,,"Vous rejoignez un acteur majeur du secteur industriel afin de les accompagner comme Data Manager. À ce titre, vous êtes notamment impliqué sur les sujets suivants :
Mettre en place les process et workflow « Master Data » en étroite collaboration avec des keys users,
Être le garant de la qualité de la donnée tout au long de son cycle de vie, notamment grâce aux outils appropriés,
Construire le reporting et KPI dans PowerBI (Microsoft). Élaborer le plan des priorités, mettre en place le RACI des droits utilisateurs/destinataires. Gérer les actifs, espace de travail…
Construire la Data Warehouse/Data Lake (agrégation des données),
Mettre en place un ETL (gestion des flux des données),
Construire la vision de la donnée IA (Intelligence Artificielle, big data, simulations),
Fournir les requêtes SQL selon le besoin des métiers.




Double compétence requise - Fonctionnelle et technique.","De formation supérieure, vous possédez une expérience d'au moins 3 ans dans un rôle de Data Manager.

Vous avez des compétences solides en SQL.

La connaissance de l'outil PowerBI est un pré-requis. Vous avez mis en place un environnement de stockage de données de type Data Warehouse ou Data Lake et vous avez supervisé la diffusion des rapports et des KPIs avec l'aide de Microsoft Office 365.

Vous êtes rigoureux, autonome et avez un bon esprit d'équipe.

Vous avez d'excellentes capacités d'analyse et de synthèse et excellez dans les aspects relationnels et techniques.

Une double compétence est requise, à la fois fonctionnelle et technique.",Aucune langue attendue,,,
Invaist,"1 
 CDI",Paris 07 - 75,Publiée le 26/01/2024,Actualisée le 26/01/2024,34 - 37 k€ brut annuel,15/03/2024,Tous niveaux d'expérience acceptés,Data scientist,Cadre du secteur privé,Internationale,PROGRAMMATION INFORMATIQUE,Total possible,"Vous rejoindrez l'équipe « AI & Data », intégrée au département «Data» dans l'organisation « Invaist ». «AI & Data» regroupe les activités suivantes : Data Engineering, Data science, Développement IA, Platform & Architecture, Data Governance and Data Engagement. Au sein de l'équipe IA & Data, sous la responsabilité du Head of AI & Data, vous aurez le rôle de Data Scientist (H/F). En tant que tel, vous aurez les responsabilités suivantes :
Construire des modèles descriptifs et prédictifs sur des sujets en constante évolution.
Développer des APIs Python
Utilisation de pipelines basés sur des techniques de traitement du langage naturel (NLP)
Création d’un voice bot basé sur des techniques de reconnaissance et de synthèse vocale.
Mener des projets exploratoires faisant appel à des techniques avancées de Data Science (NLP, deep learning, Generative AI, apprentissage par renforcement ou par transfert), de façon autonome ou avec des partenaires externes ;
Assurer une veille technologique permanente sur ces sujets ;
Participer à l'industrialisation des algorithmes en lien avec les équipes engineering basée sur MLOps;
Accompagner les équipes opérationnelles dans le déploiement des algorithmes d’intelligence artificielle.
Si vous recherchez des défis passionnants, pouvant impacter des centaines de milliers de clients, et aimez travailler avec des outils à la pointe de la technologie, venez et rejoignez-nous !Vous participerez donc à la montée en puissance de l'équipe créée récemment, tout en intervenant sur un ou plusieurs cas d'utilisation. Profil recherché En complément des missions évoquées, une réelle appétence pour la gestion et la facilitation de projet, avec une certaine aisance en termes de communication, seraient fortement appréciées. Notre équipe ayant vocation à travailler pour des clients internes pouvant être basés en France comme à l'étranger, la maitrise de Français et anglais (écrite et orale) est obligatoire.","diplômé d'une grande école d’ingénieur.
un niveau avancé en Python et sur les principales librairies de Machine Learning
SQL et Python, packages de ML: scikit, xgboost, keras
Expérience de travail sur un cloud provider et savoir construire des data pipelines serait un plus
Gestion de code : Gitlab, CI/CD
connaître sur le bout des doigts les algorithmes ML / IA régression, classification, clusterisation
Posséder de bonnes qualités de communication : vous pouvez expliquer vos modèles clairement à la fois à des data analystes mais aussi à des Directeurs Généraux ou des responsables opérationnels.
Etre organisé, structuré et motivé par l'innovation
Aimer le travail en équipe et savoir apprendre de chacun.
Un état d'esprit orienté business et apport de valeur pour les équipes métiers",Aucune langue attendue,,,
INTERIMA RECRUTEMENT,"1 
 CDI",Cagnes-sur-Mer - 06,Publiée le 10/01/2024,Actualisée le 10/01/2024,60 - 65 k€ brut annuel,Dès que possible,Minimum 5 ans,Chief Data Officer,Cadre du secteur privé,Pas de déplacement,FABRICATION D'APPAREILS D'ÉCLAIRAGE ÉLECTRIQUE,Ponctuel autorisé,"Vos missions :
Votre responsabilité, en tant que Manager Data s’étendra aux missions suivantes :
- Mettre en place les process et workflow « Master Data » en étroite collaboration avec des keys users
- Être garant de la qualité de la donnée tout au long de son cycle de vie, notamment grâce aux outils appropriés
- Construire le reporting et KPI dans PowerBI (Microsoft). Elaborer le plan des priorités, mettre en place le RACI des droits utilisateurs/destinataires. Gestion des actifs, espace de travail…
- Construire la Data Warehouse / Data Lake (agrégation des données) - Mettre en place un ETL (gestion des flux des données)
- Construire la vision de la donnée IA (Intelligence Artificielle, big data, simulations…)
- Fournir les requêtes SQL selon le besoin des métiers","De formation bac+3/+5 de type Business Intelligence, Data Analyste, PowerBI. Vous disposez d'une expérience réussie d'environ 5 ans sur un poste similaire ou en ESN spécialisée.
Vous disposez de bases solides en connaissance SQL. Connaissance de l outil PowerBI est un prérequis.
Vous avez construit un environnement de stockage de données de type Data Warehouse, Data Lake
Vous avez géré la diffusion des reporting/KPI avec l'aide de pack office365.
Vous êtes rigoureux·se, autonome, doté·e d une vraie capacité d'analyse et de bonnes capacités rédactionnelles. Vous aimez travailler en équipe et savez faire preuve de coopération.
Contrat 38h du Lundi au Vendredi.",Français,,,
AGH CONSULTING,"1 
 CDI",Montrouge - 92,Publiée le 25/01/2024,Actualisée le 07/02/2024,A négocier,Dès que possible,Minimum 9 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,"INGÉNIERIE, ÉTUDES TECHNIQUES",,"  Nous recrutons un Data analyst engineer pour l'un de nos clients situé à Montrouge ;
 Les missions à réaliser sont :
- Travailler en étroite collaboration avec les équipes plurifonctionnelles de la BAR pour comprendre leurs besoins en termes de data et de reporting, les formaliser et les traduire en spécifications en termes de structure de données, de besoins de développements des structures Datamart ou vues associées et des besoins de reporting.
- Collaborer avec l équipe Datwarehouse et Datamart du département « Architecture et Projets » de la DSI pour mettre en place les structures de données nécessaires aux activités de business Intelligence et reporting de la BAR.
- Travailler en étroite collaboration avec les équipes de le métier et DSI pour valider les démonstrations et recueillir leurs retours sur la valeur ajoutée.
- Coordonner la recette des solutions Datamart et Data reporting pour les besoins métiers de la BAR.
- Assurer une communication active des dernières évolutions et mises à jour de la plateforme.
- Accompagner les key users Data de la BAR pour les aider à mettre en place les solutions dont ils/elles ont besoin ","- Une solide expérience dans le domaine des Datawarehouse, des Datamart et des solutions de reporting avec notamment : 
- Connaissances avancées des systèmes de base de données structurée avec des expériences significatives sur PostGreSQL et solutions Oracle
- Connaissances avancées et mise en œuvre des solutions de structuration des données (concept de Datamart) et des solutions commerciales associées type Trino, StarRock, Clickhouse, Business Object
- Connaissances et mise en œuvre avancées en programmation PL/SQL
- Connaissances et support à mise en œuvre des solutions de reporting type Power BI
- La capacité de comprendre et formaliser les besoins métiers et les traduire en spécifications logicielles jusqu’à la mise à disposition des solutions et de leur acceptation.
- La capacité à travailler avec des équipes inter-fonctionnelles et à communiquer efficacement avec des parties prenantes non techniques mais aussi avec les équipes SI.
- La maîtrise de la rédaction d'expressions de besoins claires et détaillées.
- D'excellentes compétences en résolution de problèmes et en communication.
- En complément, savoir articuler et expliquer simplement des choses complexes.
- Connaissance d’outils de support au développement logiciel type Jira • Connaissance d’outils analytics type Knime serait un plus",Anglais,,,
AGH CONSULTING,"1 
 CDI",Montrouge - 92,Publiée le 16/01/2024,Actualisée le 07/02/2024,A négocier,Dès que possible,Minimum 4 ans,Data scientist,Cadre du secteur privé,Régionale,"INGÉNIERIE, ÉTUDES TECHNIQUES",,"Nous sommes à la recherche pour l'un de nos clients basé à Montrouge un Data Science / Analysis; 
Vos missions : 
Pour les Opérations Terrain :
 Collecte, analyse et traitement de données de bons de travail des techniciens notamment pour :
- Préconiser une segmentation des sites pour obtenir des temps moyens (temps gamme) cohérents par segment de réalisation de chaque nature de prestation par nos techniciens sur le terrain.
- Comparer/challenger cette segmentation à d autres solutions.
- Identifier la volumétrie et répartition d interventions « urgentes » vs « planifiées » vs « heures non ouvrées » et analyser la causalité.
- Analyser les flux de production terrain (maintenance, déploiement, corrective), par exemple nombre de changements de statuts d une intervention, timing associé et causalité.
- Mettre en place des outils de monitoring permettant de visualiser ces analyses Une partie des analyses pourra porter également sur les données du service logistique du pôle opérations dans un but d optimisation de fonctionnement du service, notamment :
- Analyse des délais entre la mise à disposition du matériel auprès des techniciens et les dates d intervention sur le terrain
Analyse du flux réparation :
      - Indicateurs multi dimensionnel : Pannes sur stock, par fournisseur, par BU, etc
     - Temps de réparation par réparateur et par matériels modèle prédictif de temps de réparation par article
     - Nombre de pannes par pièce détecter les anomalies (problème matériels, problème pièces mal réparés, problèmes sites, problème transporteur, problèmes emballage, etc) 
Analyse des articles en retour de productions :
     - Réaliser un modèle prédictif de clustering pour décider ou non de remonter la pièce en central ou de la « benner »
 ","Profil recherché :
La maîtrise des environnements suivants : 
  - Excel / maîtrise
  - BO / intermédiaire
  - Langage SQL / maîtrise 
  - Langage Python / intermédiaire
  - Power BI / intermédiaire
  - SAC / intermédiaire (doit être en mesure de créer des dashboards)
  - Statistiques / maîtrise
  - SIG
Pour l exécution et le bon déroulement du projet, il faut assurer :
- Un travail collaboratif et devra faire preuve de pédagogie
- Un reporting et une communication régulière sur ces actions
- Etre force de proposition sur les indicateurs, la méthodologie ou les solutions techniques
N.B : Une Expérience significative de 4 ans et plus est obligatoire.",Aucune langue attendue,,,
Hays France,"1 
 CDI",Orléans - 45,Publiée le 05/02/2024,Actualisée le 05/02/2024,40 - 50 k€ brut annuel,Dès que possible,Minimum 1 an,Data engineer,Cadre du secteur privé,Pas de déplacement,PROGRAMMATION INFORMATIQUE,,"Intégré au sein d'une équipe agile de 7 personnes et sous la direction du responsable Data (en étroite collaboration avec le DSI et le responsable transition et innovation), vous avez pour mission d'acheminer de la donnée (recueil des besoins métiers, développement de solutions techniques de collecte via API, développer des solutions de stockage, réaliser des tests unitaires et d'intégration et automatiser des séries de traitements). Vous mettez à disposition ces données aux équipes utilisatrices et mettez en production les modèles statistiques. Enfin, vous suivez les projets de développement (Specs techniques, reporting, automatisation de la création de dashboard etc.).","Issu d'une formation supérieure (Bac +5 en informatique ou data), vous avez une grande appétence pour tout ce qui touche à la big data, l'IA et la data analyse.
Maitrise des langages Python et SQL non négociable, appétence Java, Spark, Scala appréciée
Connaissance de Google Cloud avec idéalement une première utilisation dans un cadre professionnel (GCP, BigQuery etc.)
Connaissance sur des ETL/ELT (Google DataFlow, Semarchy DI, etc …)


Si vous êtes curieux, humble, que vous aimez coder (tout est conçu, développé et mis en place en interne), que vous aimez le travail d'équipe et que vous êtes bon communiquant, ce poste est pour vous.",Aucune langue attendue,,,
La Poste,"1 
 CDI",Paris 01 - 75,Publiée le 22/01/2024,Actualisée le 22/01/2024,A négocier,Dès que possible,Aucune expérience exigée,Data analyst,Cadre du secteur privé,Pas de déplacement,AUTRES ACTIVITÉS DE POSTE ET DE COURRIER,,"Pour accompagner la croissance du e-Commerce à l'international, la Direction des Opérations Internationales (DOI) a pour mission d'améliorer l'expérience client et la compétitivité des offres.Au sein de la DOI, vous avez en charge les outils de pilotage de la supply chain, proposez et mettez en œuvre les outils d'aide à la décision : Organiser et piloter les échanges de données :Pilote les échanges de données entre les parties prenantes : centres opérationnels, opérateurs de transport et postes étrangèresEst moteur sur le développement d'outil de supervision métier notamment sur l'absence de transmission d'informationAnalyse les dysfonctionnements en coordination avec les équipes SI ou techniques de La Poste et les partenaires externesGarantir l'efficience opérationnelle et la satisfaction client :Est force de proposition sur la mise en place d'outils dédiés basés sur des technologies innovantesIdentifie les impacts clients ou impacts pour la Poste des écarts ou des situations spécifiques rencontréesLance les plans d'actions en partenariat avec les équipes de la DOI, des opérations et des partenaires du transportAssurer la veille règlementaire sur la Data : Est porteur du changement des normes et règlementations pour La Poste Accompagne les parties prenantes et s'assure de la faisabilité et de la compréhension des enjeux techniquesParticipe aux instances internationales Poste basé à Paris 15.","* Anglais professionnel indispensable* Esprit de synthèse* Capacité analytique.
Diplômé d'un Bac + 5 ""DATA"", vous possédez une expérience de minimum 5 années dans la logistique ou les SI associée idéalement à une expérience en management de projet.",Aucune langue attendue,,,
Bénédicte SEGUIN,"1 
 CDI",Montpellier - 34,Publiée le 01/02/2024,Actualisée le 01/02/2024,A négocier,Dès que possible,Minimum 2 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,"INGÉNIERIE, ÉTUDES TECHNIQUES",Ponctuel autorisé,"Nous recrutons pour le compte de notre client issu des Télécoms un(e) Data Analyst & Dataviz, avec pour missions de :
Acquérir la compréhension à la fois des données à disposition et des besoins métier pour en tirer des informations pertinentes et indicateurs ;
Concevoir, améliorer et déployer des tableaux de bord de pilotage de performance via Power Bi, Service Now ou Salesforce Analytics;
Synthétiser et communiquer les résultats des modélisations au Data Engineer ;
Effectuer ponctuellement des analyses et rapports « manuels » à partir de données extraites des différents SI ;
Participer aux tests et valider les données dans les nouveaux outils avant leur mise en production ;
Contribuer à l’amélioration des processus.
L’intégration des données dans la base et leur préparation ne font pas partie du périmètre de la mission.
Travail en équipe avec un expert métier fibre, 2 développeurs (Web et BI) et un technicien support.","Votre profil :
Vous avez un niveau Bac+4/5 en Université, école de Commerce ou d'Ingénieur avec une spécialisation Data.
Maîtrise d’un outil BI indispensable (Power BI, Tableau, Oracle Analytics Cloud,…)
Vous avez une capacité à communiquer des analyses notamment en utilisant des outils de visualisation de manière claire avec une orientation décision.
Votre agilité mais aussi votre rigueur intellectuelle, votre aisance communicationnelle (oral/écrit) et votre capacité à appréhender et synthétiser rapidement des informations de nature variées seront déterminants pour votre réussite dans cette mission qui nécessite une grande adaptabilité.
Vous avez une bonne maîtrise des outils bureautiques et informatiques (Excel, PowerPoint).
Vous êtes intéressé par le domaine des Télécoms et plus particulièrement de la fibre optique.  
Expérience dans le poste : Minimum 2 ans
Déplacements à prévoir",Aucune langue attendue,,,
Terrena,"1 
 CDI",Mésanger - 44,Publiée le 16/01/2024,Actualisée le 16/01/2024,A négocier,Dès que possible,Tous niveaux d'expérience acceptés,Data analyst,Agent de maîtrise / Technicien,Pas de déplacement,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D'ANIMAUX VIVANTS,,"Au sein des Filières Ruminants de la Coopérative TERRENA, sous la responsabilité du Responsable Marketing Filières Ruminants, vous avez pour mission de contribuer au sein des différentes activités de la Filière Ruminant à une meilleure exploitation et interprétation de la donnée (DATA) pour atteindre les clients cibles et les objectifs commerciaux fixés par les directions commerciales des activités. 
Vous occupez un rôle important dans la gestion de « la donnée » (DATA) au service des activités en facilitant son appropriation par la réalisation de tableaux de bord, indicateurs et en apportant des solutions en fonction des différentes attentes.
Vos missions principales sont les suivantes :
Recueil, extraction et validation de données pertinentes et de qualité
Traitement, exploitation et intégration des données dans des bases de données
Création de tableau de bord, mise en place de KPIs et reporting des performances aux équipes commerciales
Production d'analyses métiers pour mesurer l'impact et de l'efficacité des moyens déployés
Rémunération sur 13 mois + un CSE dynamique et attractif, une mutuelle (prise en charge à 70% sur l'option de base par l'entreprise+ 3euro par le CSE) ainsi qu'un accès au restaurant d'entreprise de Terrena.
Nous avons hâte de vous accueillir !","Vous avez un Bac+3/5 Marketing / Big Data / Ecole ingénieur et une expérience d'un an minimum sur ce type de poste.
Au-delà de votre expertise, nous comptons sur votre motivation et votre personnalité.
- Vous avez impérativement une très bonne maîtrise des outils informatiques, plus particulièrement du Pack Office ainsi que des logiciels de traitement des données.
- Vous aimez les chiffres et les statistiques
- Vous disposez d'une forte capacité d'adaptation et de gestion des priorités.
- Votre sens de l'analyse et de la synthèse, votre rigueur, ainsi que votre sens du relationnel sont des atouts précieux qui, vous permettront de réussir dans ce nouveau challenge.",Anglais,,,
Terrena,"1 
 CDI",Mésanger - 44,Publiée le 16/01/2024,Actualisée le 16/01/2024,80 - 93 k€ brut annuel,Dès que possible,Aucune expérience exigée,Architecte Big Data,Cadre du secteur privé,Pas de déplacement,"INTERMÉDIAIRES DU COMMERCE EN TEXTILES, HABILLEMENT, FOURRURES, CHAUSSURES ET ARTICLES EN CUIR",,"Missions :
Concevoir, implémenter et configurer les plateformes Big Data et toute autre composante de stockage ou d'alimentation d'une architecture data, permettant de traiter des volumes importants de données dans les meilleures conditions,
Participer à la construction de nouveaux connecteurs et pipelines via l'extraction de données par batch sur l'une ou plusieurs de ces technologies (Azure Data Factory, Pyspark, ou Snowflake) et le stockage de données dans notre Data Lake et notre Data Warehouse, pour répondre aux besoins du métier (data science et data analyses notamment),
Mener des études d'opportunité et préconisation d'architecture cibles, et rédiger la documentation relative aux architectures développées,
Définir les choix techniques en cohérence avec le schéma directeur du SI Clarins,
Industrialiser, tester et déployer les solutions mises à disposition,
Garantir le maintien dans les conditions opérationnelles des outils data, dont les migrations et les montées de version,
Assurer la gestion/optimisation du stockage, des performances,
Sécuriser des traitements de données et le stockage,
Participer à la veille technologique.","Vous êtes issu d'une formation Bac +5 minimum de type école Ingénieur ou formation universitaire technique,
Vous possédez au moins 7 ans d'expérience,
Maîtrise des outils ou de frameworks de stack technique Big Data : Azure, ADLS, ADF, Snowflake, Databricks, Spark, Python, ELK, Java,
Expertise sur le stockage des données et les outils ETL (Datastage/OPCON),
Connaissance des systèmes techniques/applications sources (ERP, e-commerce, supply chain, logistique, SI RH…),
Maîtrise des best practices DevOps, CI/CD, unit-testing et méthodologies de travail agile,
Maîtrise des outils de développement collaboratif (GitHub, Gitlab),
Anglais obligatoire.",Aucune langue attendue,,,
Adsearch,"1 
 CDI",Mougins - 06,Publiée le 05/02/2024,Actualisée le 05/02/2024,50 - 60 k€ brut annuel,Dès que possible,Minimum 2 ans,Architecte Big Data,Cadre du secteur privé,Pas de déplacement,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,"En Bref : Mougins – CDI – Architecte Data (F/H) -  à partir de 55K 
Adsearch, cabinet de recrutement basé à Nice vous accompagne dans votre carrière pour vous trouver LE poste idéal. 
Je recrute pour un client, un Architecte Data (F/H) basé à Mougins au sein dune DSI à taille humaine au contexte international.
Vos missions :
Data Management / Gouvernance Data
Construction du Datawarehouse / EDS
Architecture data
Interface éditeurs / métiers
Environnement technique : Microsoft 365, PowerBI, Microsoft SQL Server Integration Services, SQL Serveur","Votre Profil :
De formation Bac+5 en informatique, une spécialisation en Data serait un plus
Anglais courant obligatoire 
Vous avez au moins minimum 5 ans en plus sur un poste similaire 
Bonne communication 
 
Ce qu’on vous propose : 
Package attractif 
Environnement innovant
Déplacements à prévoir
Télétravail possible 
 
Le processus de recrutement :
Etape 1 : Entretien de sélection avec Adsearch pour définir vos objectifs de carrière et votre correspondance avec le poste
Etape 2 : Entretien RH/technique avec le DSI
Et c’est tout ! Pas d’entretien inutile, nous allons directement au but. 
 
Alors, prêt à démarrer votre carrière avec nous ? Postulez et rencontrez nous !",Aucune langue attendue,,,
GERFLOR,"1 
 CDI",Tarare - 69,Publiée le 17/01/2024,Actualisée le 17/01/2024,A négocier,Dès que possible,Minimum 3 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,FABRICATION D'ÉLÉMENTS EN MATIÈRES PLASTIQUES POUR LA CONSTRUCTION,,"Au sein de la DIRECTION SUPPLY CHAIN, nous recherchons notre DATA ANALYST GROUPE (F/H).Il/Elle a pour mission d’étudier, collecter, enrichir et restituer des données afin de fournir des recommandations à l’ensemble de l’entreprise qui faciliteront la prise de décisions et apporteront de la valeur au Groupe Gerflor.Ses missions principales s'articulent autour de 4 axes :1/ Compréhension des enjeux business, des activités et marchés du groupe2/ Collecte et analyse des données pertinentes pour l’entreprise
Appréhender l’écosystème data du groupe Gerflor, ainsi que les processus métiers
Identifier les données à potentiel stratégique
Trouver, collecter, trier et organiser les données pertinentes
Traduire des données business en données statistiques
3/ Création de valeur
Définir et mettre en place des contrôles de qualité des données
Explorer et analyser les informations chiffrées générées par l'activité de l'entreprise,
Construire des algorithmes supports d’exploitation de données
Élaborer des modèles statistiques de prédiction fiables et pertinents
Simuler la variation de paramètres clés et leurs impacts sur les résultats
Anticiper les évolutions / simuler les trajectoires
Synthétiser et vulgariser les informations lorsque nécessaire
Définir des tendances
Réaliser des recommandations business afin d’améliorer la prise de décision
Développer des template/data reporting
Définir, développer et déployer des dashboards afin d’accompagner la prise de décision, mesurer la progression, les impacts des actions dans le but d’optimiser nos performances business
Apporter du support aux data users
Travailler continuellement sur l’amélioration des process en collaboration étroite avec les équipes opérationnelles et l’IT
Consolider les connaissances sur la cartographie des données, les flux de données et les points de référence
Innover en mettant en place des outils spécifiques
4/ Veille technologique
Identifier les outils d’analyse à utiliser pour collecter/construire et stocker les données
Plateformes de traitement, expérimentation
Valeur potentielle de l’intelligence artificielle/machine learning/prise en compte de data extérieures à l’entreprise, …","Titulaire d'une formation de type BAC+5 de type Master en Mathématiques/Statistiques ou équivalent, vous avez une expérience de 3 ans minimum acquise idéalement dans un environnement industriel.Vous maîtrisez les outils statistiques et les informations nécessaires à la mise en place d'une base de données, la conception de modèles de données, le SQL et les outils décisionnels (IBM Cognos et PowerBI idéalement), ainsi que les ERP et EXCEL (niveau avancé).De façon générale, vous faites preuve d'une bonne compréhension du business, des organisations et des problématiques de données en entreprise.Doté(e) d'une excellente capacité d'analyse et de synthèse, vous êtes orienté(e) résultat avec le sens du relationnel qui vous permet d'interagir aisément avec les différents acteurs internes. Vous faites preuve de rigueur, de méthode et d'organisation et êtes force de proposition.Votre périmètre est monde donc votre niveau d'anglais est courant afin d'échanger au sujet des données internationales.",Anglais,,,
Hays France,"1 
 CDI",Aix-en-Provence - 13,Publiée le 02/02/2024,Actualisée le 02/02/2024,45 - 60 k€ brut annuel,Dès que possible,Minimum 5 ans,Data engineer,Cadre du secteur privé,Pas de déplacement,GESTION D'INSTALLATIONS INFORMATIQUES,,"Sous la responsabilité et la coordination du Responsable de domaine, l'Ingénieur data a pour mission de collecter, traiter, fiabiliser, stocker et analyser les données provenant de différentes sources internes et externes
Ses principales activités sont :
L'alimentation du Data Lake Azure et du Data Warehouse du groupe à partir de sources de données variées (fichiers, bases de données, API, etc.).
L'exploitation quotidienne des flux d'alimentation (sous Talend / Azure Data Factory) en assurant la qualité, la fiabilité des données en portant un soin particulier à la performance des traitements d'alimentation.
La participation aux projets de développement de nouvelles sources de données, en respectant les normes et les bonnes pratiques du groupe. Pour cela, il doit participer à la conception et la modélisation des modèles de bases de données sous SQL Server Manage Instance.
Maintenir et faire évoluer les Data Marts existants ainsi que les univers et états existants sous Business Objects (dans l'attente qu'ils soient progressivement basculés par une autre équipe sous Power BI).
Rédiger la documentation indispensable pour le maintien optimal en conditions opérationnelles (spécifications détaillées, mapping de données, descriptif univers, notes de versions, procédures d'exploitations, …).
Collaborer avec l'équipe Data Viz et les métiers pour répondre aux besoins en données du groupe.","Issu d'une formation supérieure en Informatique ou en Statistiques, vous avez acquis une expérience professionnelle d'au moins 5 ans dans le domaine de la gestion des données. Vous devez maîtriser les compétences suivantes :
Environnement Microsoft Azure et ses services liés aux données (Azure Data Factory, Azure Data Lake Storage, etc.).
Intégration de données avec l'ETL Talend et requêtes SQL / programmation en transact SQL.


Vos qualités d'analyse et de modélisation ainsi que votre aptitude à travailler en parallèle sur différents projets, mais aussi votre curiosité sur les aspects fonctionnels des périmètres sont des atouts dans la réussite des missions confiées. Vous êtes autonome, rigoureux, méthodique et savez montrer votre engagement dans la gestion des projets.

Les connaissances sur les outils suivants seraient un plus :
Modélisation d'univers Business Objects et développement WEBI dans la version SAP BO XI 4X.
Utilisation de Microsoft Power Apps pour faire des applications de saisies de données destinées aux métiers.",Anglais,,,
